name,Address 1,Address 2,"City, State Zip",googleMapsUrl,state,postal,source,source_date,address,lat,lng,county,FIPS,FIPS County,FIPS State,County,State,Postal,CensusDivision
"WOODWARD DETROIT CVS, L.L.C.",301 SOUTH COCHRAN AVE.,,"CHARLOTTE, MI 48813",http://maps.google.com/maps?q=WOODWARD%20DETROIT%20CVS%20LLC%2C301%20SOUTH%20COCHRAN%20AVE.%2C+CHARLOTTE%2C+MI+48813,MI,48813,DEA,Oct2018,"301 SOUTH COCHRAN AVE., CHARLOTTE, MI 48813",42.5605164,-84.8376056,Eaton,26045,45,26,Eaton,Michigan,MI,East North Central
KHOURY PHARMACY,101 N. MAIN,,"COLUMBIA, IL 62236",http://maps.google.com/maps?q=KHOURY%20PHARMACY%2C101%20N.%20MAIN%2C+COLUMBIA%2C+IL+62236,IL,62236,DEA,Oct2018,"101 N. MAIN, COLUMBIA, IL 62236",38.442904,-90.2004031,Monroe,17133,133,17,Monroe,Illinois,IL,East North Central
US ARMY- FT RILEY- IACH PHARMACY,650 HUEBNER ROAD,ATTN PHARMACY SERVICES,"FORT RILEY, KS 66442",http://maps.google.com/maps?q=US%20ARMY%20FT%20RILEY%20IACH%20PHARMACY%2C650%20HUEBNER%20ROAD%2C+FORT%20RILEY%2C+KS+66442,KS,66442,DEA,Oct2018,"650 HUEBNER ROAD, ATTN PHARMACY SERVICES, FORT RILEY, KS 66442",39.0830205,-96.7706518,Geary,20061,61,20,Geary,Kansas,KS,West North Central
US ARMY- FT POLK MED ACTIVITY,BLDG 1585 3RD ST RM 1758,,"FORT POLK, LA 71459",http://maps.google.com/maps?q=US%20ARMY%20FT%20POLK%20MED%20ACTIVITY%2CBLDG%201585%203RD%20ST%20RM%201758%2C+FORT%20POLK%2C+LA+71459,LA,71459,DEA,Oct2018,"BLDG 1585 3RD ST RM 1758, FORT POLK, LA 71459",31.0624557,-93.2159901,Vernon,22115,115,22,Vernon,Louisiana,LA,West South Central
WALGREEN CO.,1920 E RIVERSIDE DR,BLDG B,"AUSTIN, TX 78741",http://maps.google.com/maps?q=WALGREEN%20CO%2C1920%20E%20RIVERSIDE%20DR%2C+AUSTIN%2C+TX+78741,TX,78741,DEA,Oct2018,"1920 E RIVERSIDE DR, BLDG B, AUSTIN, TX 78741",30.2425432,-97.7304308,Travis,48453,453,48,Travis,Texas,TX,West South Central
WALGREEN CO.,5345 N IH 35,,"AUSTIN, TX 78723",http://maps.google.com/maps?q=WALGREEN%20CO%2C5345%20N%20IH%2035%2C+AUSTIN%2C+TX+78723,TX,78723,DEA,Oct2018,"5345 N IH 35, AUSTIN, TX 78723",30.3127095,-97.7095353,Travis,48453,453,48,Travis,Texas,TX,West South Central
"LONGS DRUG STORES CALIFORNIA, L.L.C.",3240 US HIGHWAY 50 E,,"CARSON CITY, NV 89701",http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C3240%20US%20HIGHWAY%2050%20E%2C+CARSON%20CITY%2C+NV+89701,NV,89701,DEA,Oct2018,"3240 US HIGHWAY 50 E, CARSON CITY, NV 89701",39.1785143,-119.7341209,Carson City,32510,510,32,Carson City,Nevada,NV,Mountain
US ARMY- FT IRWIN MEDDAC,ATTN: PHARMACY SERVICES,390 OUTER LOOP ROAD ROOM 2248,"FORT IRWIN, CA 92310",http://maps.google.com/maps?q=US%20ARMY%20FT%20IRWIN%20MEDDAC%2CATTN%3A%20PHARMACY%20SERVICES%2C+FORT%20IRWIN%2C+CA+92310,CA,92310,DEA,Oct2018,"ATTN: PHARMACY SERVICES, 390 OUTER LOOP ROAD ROOM 2248, FORT IRWIN, CA 92310",35.2729949,-116.6839366,San Bernadino,6071,71,6,San Bernadino,California,CA,Pacific
"GARFIELD BEACH CVS, L.L.C.",1830 NORTH BROADWAY,,"SANTA MARIA, CA 93454",http://maps.google.com/maps?q=GARFIELD%20BEACH%20CVS%20LLC%2C1830%20NORTH%20BROADWAY%2C+SANTA%20MARIA%2C+CA+93454,CA,93454,DEA,Oct2018,"1830 NORTH BROADWAY, SANTA MARIA, CA 93454",34.9731935,-120.4361403,Santa Barbara,6083,83,6,Santa Barabara,California,CA,Pacific
"LONGS DRUG STORES CALIFORNIA, L.L.C.",2116 S BROADWAY,,"SANTA MARIA, CA 93454",http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C2116%20S%20BROADWAY%2C+SANTA%20MARIA%2C+CA+93454,CA,93454,DEA,Oct2018,"2116 S BROADWAY, SANTA MARIA, CA 93454",34.9223276,-120.4354604,Santa Barbara,6083,83,6,Santa Barabara,California,CA,Pacific
"LONGS DRUG STORES CALIFORNIA, L.L.C.",733 E MAIN ST,,"SANTA MARIA, CA 93454",http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C733%20E%20MAIN%20ST%2C+SANTA%20MARIA%2C+CA+93454,CA,93454,DEA,Oct2018,"733 E MAIN ST, SANTA MARIA, CA 93454",34.9536965,-120.4271719,Santa Barbara,6083,83,6,Santa Barabara,California,CA,Pacific
"LONGS DRUG STORES CALIFORNIA, L.L.C.",1175 2ND ST,,"BRENTWOOD, CA 94513",http://maps.google.com/maps?q=LONGS%20DRUG%20STORES%20CALIFORNIA%20LLC%2C1175%202ND%20ST%2C+BRENTWOOD%2C+CA+94513,CA,94513,DEA,Oct2018,"1175 2ND ST, BRENTWOOD, CA 94513",37.9366762,-121.7015117,Contra Costa,6013,13,6,Contra Costa,California,CA,Pacific
"NOR-CAL PHARMACIES, INC",14090 E. HIGHWAY 88,,"LOCKEFORD, CA 95237",http://maps.google.com/maps?q=NORCAL%20PHARMACIES%20INC%2C14090%20E.%20HIGHWAY%2088%2C+LOCKEFORD%2C+CA+95237,CA,95237,DEA,Oct2018,"14090 E. HIGHWAY 88, LOCKEFORD, CA 95237",38.1668306,-121.1446732,San Joaquin,6077,77,6,San Joaquin,California,CA,Pacific
COMMUNITY HEALTH CARE PHARMACY - SPANAWAY,134 188TH ST S,,"SPANAWAY, WA 98387",http://maps.google.com/maps?q=COMMUNITY%20HEALTH%20CARE%20PHARMACY%20%20SPANAWAY%2C134%20188TH%20ST%20S%2C+SPANAWAY%2C+WA+98387,WA,98387,DEA,Oct2018,"134 188TH ST S, SPANAWAY, WA 98387",47.0861045,-122.4361096,Pierce,53053,53,53,Pierce,Washington,WA,Pacific
13TH AVENUE PHARMACY INC,5211 13TH AVENUE,,"BROOKLYN, NY 11219",http://maps.google.com/maps?q=TH%20AVENUE%20PHARMACY%20INC%2C5211%2013TH%20AVENUE%2C+BROOKLYN%2C+NY+11219,NY,11219,DEA,Oct2018,"5211 13TH AVENUE, BROOKLYN, NY 11219",40.6330138,-73.996213,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
AIDS HEALTHCARE FOUNDATION,475 ATLANTIC AVE,,"BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,NY,11217,DEA,Oct2018,"475 ATLANTIC AVE, BROOKLYN, NY 11217",40.685825,-73.98195,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
ALEXANDER INFUSION LLC,75 NASSAU TERMINAL ROAD,,"NEW HYDE PARK, NY 11040",http://maps.google.com/maps?q=ALEXANDER%20INFUSION%20LLC%2C75%20NASSAU%20TERMINAL%20ROAD%2C+NEW%20HYDE%20PARK%2C+NY+11040,NY,11040,DEA,Oct2018,"75 NASSAU TERMINAL ROAD, NEW HYDE PARK, NY 11040",40.734505,-73.67275,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
ALLURE SPECIALTY PHARMACY,4377 BRONX BLVD,,"BRONX, NY 10466",http://maps.google.com/maps?q=ALLURE%20SPECIALTY%20PHARMACY%2C4377%20BRONX%20BLVD%2C+BRONX%2C+NY+10466,NY,10466,DEA,Oct2018,"4377 BRONX BLVD, BRONX, NY 10466",40.8992029048,-73.8583401429,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
AMI PHARMACY,4180 BROADWAY,,"NEW YORK, NY 10033",http://maps.google.com/maps?q=AMI%20PHARMACY%2C4180%20BROADWAY%2C+NEW%20YORK%2C+NY+10033,NY,10033,DEA,Oct2018,"4180 BROADWAY, NEW YORK, NY 10033",40.847905,-73.9376831,New York,36061,61,36,New York,New York,NY,Middle Atlantic
"ANAYA I, INC.",23 S. MAIN ST.,UNIT A,"FREEPORT, NY 11520",http://maps.google.com/maps?q=ANAYA%20I%20INC%2C23%20S.%20MAIN%20ST.%2C+FREEPORT%2C+NY+11520,NY,11520,DEA,Oct2018,"23 S. MAIN ST., UNIT A, FREEPORT, NY 11520",40.6567434,-73.5830685,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
ASCAN PHARMACY INC.,101-21 METROPOLITAN AVENUE,,"FOREST HILLS, NY 11375",http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375,NY,11375,DEA,Oct2018,"101-21 METROPOLITAN AVENUE, FOREST HILLS, NY 11375",40.710594,-73.85165,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
AVIGHNA RX LLC,7 BEDFORD PARK BLVD,,"BRONX, NY 10468",http://maps.google.com/maps?q=AVIGHNA%20RX%20LLC%2C7%20BEDFORD%20PARK%20BLVD%2C+BRONX%2C+NY+10468,NY,10468,DEA,Oct2018,"7 BEDFORD PARK BLVD, BRONX, NY 10468",40.8733277,-73.889023,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
AVK RX INC.,3904 CHURCH AVE,,"BROOKLYN, NY 11203",http://maps.google.com/maps?q=AVK%20RX%20INC%2C3904%20CHURCH%20AVE%2C+BROOKLYN%2C+NY+11203,NY,11203,DEA,Oct2018,"3904 CHURCH AVE, BROOKLYN, NY 11203",40.6511562653,-73.9407631837,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
AVONORA INC,14901 UNION TPKE,,"FLUSHING, NY 11367",http://maps.google.com/maps?q=AVONORA%20INC%2C14901%20UNION%20TPKE%2C+FLUSHING%2C+NY+11367,NY,11367,DEA,Oct2018,"14901 UNION TPKE, FLUSHING, NY 11367",40.71863,-73.8137,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
"B & B PHARMACY, INC.",79-08 37TH AVE,,"JACKSON HEIGHTS, NY 11372",http://maps.google.com/maps?q=B%20%20B%20PHARMACY%20INC%2C79-08%2037TH%20AVE%2C+JACKSON%20HEIGHTS%2C+NY+11372,NY,11372,DEA,Oct2018,"79-08 37TH AVE, JACKSON HEIGHTS, NY 11372",40.7493677,-73.8867945,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
BANDSTAND CORPORATION,226 PROSPECT PARK W,,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BANDSTAND%20CORPORATION%2C226%20PROSPECT%20PARK%20W%2C+BROOKLYN%2C+NY+11215,NY,11215,DEA,Oct2018,"226 PROSPECT PARK W, BROOKLYN, NY 11215",40.65995,-73.9809326,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
BARDONIA PHARMACY LLC,301 ROUTE 304,SUITE 4,"BARDONIA, NY 10954",http://maps.google.com/maps?q=BARDONIA%20PHARMACY%20LLC%2C301%20ROUTE%20304%2C+BARDONIA%2C+NY+10954,NY,10954,DEA,Oct2018,"301 ROUTE 304, SUITE 4, BARDONIA, NY 10954",41.10908,-73.99609,Rockland,36087,87,36,Rockland,New York,NY,Middle Atlantic
BAYSIDE PHARMACY INC.,221-36 HORACE HARDING EXPRESSWAY,,"OAKLAND GARDENS, NY 11364",http://maps.google.com/maps?q=BAYSIDE%20PHARMACY%20INC%2C221-36%20HORACE%20HARDING%20EXPRESSWAY%2C+OAKLAND%20GARDENS%2C+NY+11364,NY,11364,DEA,Oct2018,"221-36 HORACE HARDING EXPRESSWAY, OAKLAND GARDENS, NY 11364",40.7492678,-73.7552226,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
BAYSTATE MEDICAL CENTER INC,759 CHESTNUT ST,,"SPRINGFIELD, MA 01199",http://maps.google.com/maps?q=BAYSTATE%20MEDICAL%20CENTER%20INC%2C759%20CHESTNUT%20ST%2C+SPRINGFIELD%2C+MA+01199,MA,1199,DEA,Oct2018,"759 CHESTNUT ST, SPRINGFIELD, MA 01199",42.121864,-72.602904,Hampden,25013,13,25,Hampden,Massachusetts,MA,New England
BESAEL CORP,DBA OAK PARK PHARMACY,205 PROSPECT PARK WEST,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BESAEL%20CORP%2CDBA%20OAK%20PARK%20PHARMACY%2C+BROOKLYN%2C+NY+11215,NY,11215,DEA,Oct2018,"DBA OAK PARK PHARMACY, 205 PROSPECT PARK WEST, BROOKLYN, NY 11215",40.6605349,-73.9820463,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
BETH ISRAEL DEACONESS / NEEDHAM,148 CHESTNUT STREET,,"NEEDHAM, MA 02492",http://maps.google.com/maps?q=BETH%20ISRAEL%20DEACONESS%20%20NEEDHAM%2C148%20CHESTNUT%20STREET%2C+NEEDHAM%2C+MA+02492,MA,2492,DEA,Oct2018,"148 CHESTNUT STREET, NEEDHAM, MA 02492",42.2788383529,-71.2370721176,Norfolk,25021,21,25,Norfolk,Massachusetts,MA,New England
"BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH, INC.",275 SANDWICH STREET,,"PLYMOUTH, MA 02360",http://maps.google.com/maps?q=BETH%20ISRAEL%20DEACONESS%20HOSPITALPLYMOUTH%20INC%2C275%20SANDWICH%20STREET%2C+PLYMOUTH%2C+MA+02360,MA,2360,DEA,Oct2018,"275 SANDWICH STREET, PLYMOUTH, MA 02360",41.944397,-70.645004,Plymouth,25023,23,25,Plymouth,Massachusetts,MA,New England
BEVERLY HOSPITAL,C/O PHARMACY DEPT,85 HERRICK ST,"BEVERLY, MA 01915",http://maps.google.com/maps?q=BEVERLY%20HOSPITAL%2CC/O%20PHARMACY%20DEPT%2C+BEVERLY%2C+MA+01915,MA,1915,DEA,Oct2018,"C/O PHARMACY DEPT, 85 HERRICK ST, BEVERLY, MA 01915",42.5765964,-70.8919377,Essex,25009,9,25,Essex,Massachusetts,MA,New England
BIDMC PHARMACY,364 BROOKLINE AVE,,"BOSTON, MA 02215",http://maps.google.com/maps?q=BIDMC%20PHARMACY%2C364%20BROOKLINE%20AVE%2C+BOSTON%2C+MA+02215,MA,2215,DEA,Oct2018,"364 BROOKLINE AVE, BOSTON, MA 02215",42.33877408,-71.10731688,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
BOICEVILLE PHARMACY,P.O. BOX 474,ATTN: SUPERVISING PHARMACIST,"BOICEVILLE, NY 12412",http://maps.google.com/maps?q=BOICEVILLE%20PHARMACY%2CP.O.%20BOX%20474%2C+BOICEVILLE%2C+NY+12412,NY,12412,DEA,Oct2018,"P.O. BOX 474, ATTN: SUPERVISING PHARMACIST, BOICEVILLE, NY 12412",42.0068474,-74.2698774,Ulster,36111,111,36,Ulster,New York,NY,Middle Atlantic
BOSTON MEDICAL CENTER,MENINO CAMPUS,840 HARRISON AVE,"BOSTON, MA 02118",http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%2CMENINO%20CAMPUS%2C+BOSTON%2C+MA+02118,MA,2118,DEA,Oct2018,"MENINO CAMPUS, 840 HARRISON AVE, BOSTON, MA 02118",42.3348121,-71.0733775,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
BOSTON MEDICAL CENTER PHARMACY AT SHAPIRO,725 ALBANY ST,PHARMACY,"BOSTON, MA 02118",http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%20PHARMACY%20AT%20SHAPIRO%2C725%20ALBANY%20ST%2C+BOSTON%2C+MA+02118,MA,2118,DEA,Oct2018,"725 ALBANY ST, PHARMACY, BOSTON, MA 02118",42.335518,-71.0707,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
BRATTLEBORO MEMORIAL HOSP,PHARMACY DEPT.,17 BELMONT AVE.,"BRATTLEBORO, VT 05301",http://maps.google.com/maps?q=BRATTLEBORO%20MEMORIAL%20HOSP%2CPHARMACY%20DEPT.%2C+BRATTLEBORO%2C+VT+05301,VT,5301,DEA,Oct2018,"PHARMACY DEPT., 17 BELMONT AVE., BRATTLEBORO, VT 05301",42.8409809,-72.5646091,Windham,50025,25,50,Windham,Vermont,VT,New England
BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,DEPT OF PHARMACY TWR L2-504,"BOSTON, MA 02115",http://maps.google.com/maps?q=BRIGHAM%20AND%20WOMENS%20HOSPITAL%2C75%20FRANCIS%20STREET%2C+BOSTON%2C+MA+02115,MA,2115,DEA,Oct2018,"75 FRANCIS STREET, DEPT OF PHARMACY TWR L2-504, BOSTON, MA 02115",42.3360919,-71.1067047,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
BRIGHAM AND WOMEN'S HOSPITAL,850 BOYLSTON STREET,"DELIVER TO PHARMACY DEPT, 75 F","CHESTNUT HILL, MA 02467",http://maps.google.com/maps?q=BRIGHAM%20AND%20WOMENS%20HOSPITAL%2C850%20BOYLSTON%20STREET%2C+CHESTNUT%20HILL%2C+MA+02467,MA,2467,DEA,Oct2018,"850 BOYLSTON STREET, DELIVER TO PHARMACY DEPT, 75 F, CHESTNUT HILL, MA 02467",42.3360919,-71.1067047,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
CAPE COD HEALTHCARE PHARMACY AT FALMOUTH HOSPITAL,100 TER HEUN DRIVE,,"FALMOUTH, MA 02540",http://maps.google.com/maps?q=CAPE%20COD%20HEALTHCARE%20PHARMACY%20AT%20FALMOUTH%20HOSPITAL%2C100%20TER%20HEUN%20DRIVE%2C+FALMOUTH%2C+MA+02540,MA,2540,DEA,Oct2018,"100 TER HEUN DRIVE, FALMOUTH, MA 02540",41.564934,-70.62106,Barnstable,25001,1,25,Barnstable,Massachusetts,MA,New England
CAREMART PHARMACY LLC,95-02 VAN WYCK EXPY,,"S RICHMOND HILL, NY 11419",http://maps.google.com/maps?q=CAREMART%20PHARMACY%20LLC%2C95-02%20VAN%20WYCK%20EXPY%2C+S%20RICHMOND%20HILL%2C+NY+11419,NY,11419,DEA,Oct2018,"95-02 VAN WYCK EXPY, S RICHMOND HILL, NY 11419",40.7056938,-73.81804,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
"CARING HEALTH CENTER, INC.",1049 MAIN STREET,,"SPRINGFIELD, MA 01103",http://maps.google.com/maps?q=CARING%20HEALTH%20CENTER%20INC%2C1049%20MAIN%20STREET%2C+SPRINGFIELD%2C+MA+01103,MA,1103,DEA,Oct2018,"1049 MAIN STREET, SPRINGFIELD, MA 01103",42.0996797,-72.5871684,Hampden,25013,13,25,Hampden,Massachusetts,MA,New England
CASTLE HILL DRUGS INC.,674 CASTLE HILL  AVENUE,,"BRONX, NY 10473",http://maps.google.com/maps?q=CASTLE%20HILL%20DRUGS%20INC%2C674%20CASTLE%20HILL%20%20AVENUE%2C+BRONX%2C+NY+10473,NY,10473,DEA,Oct2018,"674 CASTLE HILL AVENUE, BRONX, NY 10473",40.82062825,-73.8482935,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
CASTLE TOPP PHARMACY CORP.,1370A CASTLE HILL AVE,,"BRONX, NY 10462",http://maps.google.com/maps?q=CASTLE%20TOPP%20PHARMACY%20CORP%2C1370A%20CASTLE%20HILL%20AVE%2C+BRONX%2C+NY+10462,NY,10462,DEA,Oct2018,"1370A CASTLE HILL AVE, BRONX, NY 10462",40.83521,-73.85194,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
CATHOLIC MEDICAL CENTER HOSP,100 MCGREGOR STREET,,"MANCHESTER, NH 03102",http://maps.google.com/maps?q=CATHOLIC%20MEDICAL%20CENTER%20HOSP%2C100%20MCGREGOR%20STREET%2C+MANCHESTER%2C+NH+03102,NH,3102,DEA,Oct2018,"100 MCGREGOR STREET, MANCHESTER, NH 03102",42.99111,-71.47379,Hillsborough,33011,11,33,Hillsborough,New Hampshire,NH,New England
CEDARS PHARMACY,95-19 57 AVENUE,,"ELMHURST, NY 11373",http://maps.google.com/maps?q=CEDARS%20PHARMACY%2C95-19%2057%20AVENUE%2C+ELMHURST%2C+NY+11373,NY,11373,DEA,Oct2018,"95-19 57 AVENUE, ELMHURST, NY 11373",40.73671,-73.86562,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
CENTRAL SUFFOLK HOSPITAL,1300 ROANOKE AVE,PHARMACY DEPARTMENT,"RIVERHEAD, NY 11901",http://maps.google.com/maps?q=CENTRAL%20SUFFOLK%20HOSPITAL%2C1300%20ROANOKE%20AVE%2C+RIVERHEAD%2C+NY+11901,NY,11901,DEA,Oct2018,"1300 ROANOKE AVE, PHARMACY DEPARTMENT, RIVERHEAD, NY 11901",40.918816,-72.66293,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
CHARTER OAK HEALTH CENTER,PHARMACY,21 GRAND STREET,"HARTFORD, CT 06106",http://maps.google.com/maps?q=CHARTER%20OAK%20HEALTH%20CENTER%2CPHARMACY%2C+HARTFORD%2C+CT+06106,CT,6106,DEA,Oct2018,"PHARMACY, 21 GRAND STREET, HARTFORD, CT 06106",41.7577189,-72.6830985,Hartford,9003,3,9,Hartford,Connecticut,CT,New England
CITY CHEMIST CORP.,324 MAIN STREET,,"POUGHKEEPSIE, NY 12601",http://maps.google.com/maps?q=CITY%20CHEMIST%20CORP%2C324%20MAIN%20STREET%2C+POUGHKEEPSIE%2C+NY+12601,NY,12601,DEA,Oct2018,"324 MAIN STREET, POUGHKEEPSIE, NY 12601",41.7030326712,-73.9263009373,Dutchess,36027,27,36,Dutchess,New York,NY,Middle Atlantic
COMMUNITY CARE RX INC.,86 FRONT STREET,,"HEMPSTEAD, NY 11550",http://maps.google.com/maps?q=COMMUNITY%20CARE%20RX%20INC%2C86%20FRONT%20STREET%2C+HEMPSTEAD%2C+NY+11550,NY,11550,DEA,Oct2018,"86 FRONT STREET, HEMPSTEAD, NY 11550",40.70376,-73.63337,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
